temperature,humidity,motion,light,gas,aqi,sound,risk,timestamp
44,78,0,Dark,1470,1681,Medium,Danger,2026-05-10 19:41:12
20,84,0,Bright,337,485,Low,Normal,2026-05-10 19:42:12
20,75,1,Dark,3043,2575,Medium,Danger,2026-05-10 19:43:12
35,47,0,Bright,3481,2772,Low,Warning,2026-05-10 19:44:12
37,43,1,Bright,3184,2982,Medium,Danger,2026-05-10 19:45:12
22,43,0,Bright,1814,3493,High,Warning,2026-05-10 19:46:12
30,93,0,Dark,2433,1319,Low,Warning,2026-05-10 19:47:12
20,57,0,Dark,1813,1637,Medium,Warning,2026-05-10 19:48:12
23,90,0,Dark,2947,3150,Low,Danger,2026-05-10 19:49:12
40,43,1,Dim,2657,1182,High,Danger,2026-05-10 19:50:12
23,38,0,Dark,1194,1976,Low,Warning,2026-05-10 19:51:12
36,50,1,Dark,1994,2380,Medium,Warning,2026-05-10 19:52:12
27,93,1,Dim,678,1733,High,Warning,2026-05-10 19:53:12
28,86,0,Bright,2142,1465,High,Warning,2026-05-10 19:54:12
23,53,0,Dark,1830,3133,Low,Warning,2026-05-10 19:55:12
26,55,1,Dark,1366,3258,Medium,Warning,2026-05-10 19:56:12
45,36,0,Bright,1906,791,High,Warning,2026-05-10 19:57:12
29,57,0,Dark,3176,3458,Low,Warning,2026-05-10 19:58:12
38,61,0,Dark,1283,2230,High,Danger,2026-05-10 19:59:12
41,81,1,Dark,2720,2606,High,Danger,2026-05-10 20:00:12
32,58,0,Bright,2835,293,High,Warning,2026-05-10 20:01:12
36,53,1,Dim,2638,3137,Medium,Danger,2026-05-10 20:02:12
38,40,0,Dim,869,2809,Medium,Warning,2026-05-10 20:03:12
24,55,0,Bright,1673,1264,High,Warning,2026-05-10 20:04:12
44,33,0,Dark,1787,963,High,Warning,2026-05-10 20:05:12
22,71,1,Dim,2499,3056,Low,Danger,2026-05-10 20:06:12
27,77,1,Dim,1240,3235,High,Danger,2026-05-10 20:07:12
34,94,0,Dim,1929,917,High,Warning,2026-05-10 20:08:12
44,65,1,Dark,1296,639,Low,Warning,2026-05-10 20:09:12
29,69,1,Dim,1747,2739,High,Warning,2026-05-10 20:10:12
29,91,1,Bright,3115,2382,Low,Danger,2026-05-10 20:11:12
39,37,0,Bright,2371,2259,Low,Warning,2026-05-10 20:12:12
39,33,1,Dim,574,1515,Medium,Warning,2026-05-10 20:13:12
31,81,1,Bright,1376,1186,High,Warning,2026-05-10 20:14:12
35,91,0,Dim,3456,862,High,Danger,2026-05-10 20:15:12
35,44,1,Dim,2285,678,High,Warning,2026-05-10 20:16:12
44,83,1,Dim,571,1930,High,Warning,2026-05-10 20:17:12
32,81,1,Bright,1089,1929,High,Warning,2026-05-10 20:18:12
20,34,0,Dim,2037,1227,Medium,Warning,2026-05-10 20:19:12
34,47,0,Dark,3448,3059,Medium,Danger,2026-05-10 20:20:12
44,80,0,Bright,2817,408,Low,Warning,2026-05-10 20:21:12
23,33,1,Dark,2314,2061,Medium,Warning,2026-05-10 20:22:12
20,83,1,Dim,1033,462,Medium,Normal,2026-05-10 20:23:12
30,50,0,Dark,3023,183,High,Warning,2026-05-10 20:24:12
39,78,0,Bright,3111,960,High,Danger,2026-05-10 20:25:12
27,38,0,Bright,1523,3115,High,Warning,2026-05-10 20:26:12
40,44,1,Dark,1555,1235,Low,Warning,2026-05-10 20:27:12
26,85,0,Dark,3192,2907,High,Danger,2026-05-10 20:28:12
35,57,0,Dark,2145,1846,Medium,Warning,2026-05-10 20:29:12
42,71,1,Dark,1488,2357,High,Danger,2026-05-10 20:30:12
41,30,0,Dark,3030,457,Medium,Warning,2026-05-10 20:31:12
40,80,0,Dark,2951,1296,Medium,Danger,2026-05-10 20:32:12
25,31,1,Dim,779,1323,High,Warning,2026-05-10 20:33:12
23,46,0,Dim,326,1212,Medium,Normal,2026-05-10 20:34:12
25,31,1,Dim,313,2612,High,Warning,2026-05-10 20:35:12
24,30,0,Dim,460,789,High,Normal,2026-05-10 20:36:12
20,90,1,Bright,183,1103,High,Warning,2026-05-10 20:37:12
43,38,0,Dark,2794,1574,Medium,Danger,2026-05-10 20:38:12
26,48,1,Bright,3116,3257,High,Danger,2026-05-10 20:39:12
39,32,0,Dim,830,581,High,Warning,2026-05-10 20:40:12
40,37,0,Dim,2121,2237,High,Danger,2026-05-10 20:41:12
27,86,1,Dark,1495,2959,High,Danger,2026-05-10 20:42:12
27,53,1,Dark,654,3391,High,Warning,2026-05-10 20:43:12
39,95,0,Dim,2294,1287,Low,Danger,2026-05-10 20:44:12
41,34,1,Bright,2371,3442,Low,Danger,2026-05-10 20:45:12
21,46,1,Dim,450,2020,High,Warning,2026-05-10 20:46:12
20,52,1,Dim,1669,3300,Medium,Warning,2026-05-10 20:47:12
22,76,0,Dim,2373,3079,Medium,Warning,2026-05-10 20:48:12
