temperature,humidity,motion,gas,aqi,risk_original,risk
44,78,0,1000,500,Danger,Danger
20,84,0,337,485,Safe,Danger
20,75,1,1000,500,Danger,Warning
35,47,0,1000,500,Warning,Danger
37,43,1,1000,500,Danger,Danger
22,43,0,1000,500,Warning,Warning
30,93,0,1000,500,Warning,Danger
20,57,0,1000,500,Warning,Warning
23,90,0,1000,500,Danger,Danger
40,43,1,1000,500,Danger,Danger
23,38,0,1000,500,Warning,Warning
36,50,1,1000,500,Warning,Danger
27,93,1,678,500,Warning,Danger
28,86,0,1000,500,Warning,Danger
23,53,0,1000,500,Warning,Warning
26,55,1,1000,500,Warning,Warning
45,36,0,1000,500,Warning,Danger
29,57,0,1000,500,Warning,Warning
38,61,0,1000,500,Danger,Danger
41,81,1,1000,500,Danger,Danger
32,58,0,1000,293,Warning,Danger
36,53,1,1000,500,Danger,Danger
38,40,0,869,500,Warning,Danger
24,55,0,1000,500,Warning,Warning
44,33,0,1000,500,Warning,Danger
22,71,1,1000,500,Danger,Warning
27,77,1,1000,500,Danger,Warning
34,94,0,1000,500,Warning,Danger
44,65,1,1000,500,Warning,Danger
29,69,1,1000,500,Warning,Warning
29,91,1,1000,500,Danger,Danger
39,37,0,1000,500,Warning,Danger
39,33,1,574,500,Warning,Danger
31,81,1,1000,500,Warning,Danger
35,91,0,1000,500,Danger,Danger
35,44,1,1000,500,Warning,Danger
44,83,1,571,500,Warning,Danger
32,81,1,1000,500,Warning,Danger
20,34,0,1000,500,Warning,Warning
34,47,0,1000,500,Danger,Danger
44,80,0,1000,408,Warning,Danger
23,33,1,1000,500,Warning,Warning
20,83,1,1000,462,Safe,Danger
30,50,0,1000,183,Warning,Danger
39,78,0,1000,500,Danger,Danger
27,38,0,1000,500,Warning,Warning
40,44,1,1000,500,Warning,Danger
26,85,0,1000,500,Danger,Danger
35,57,0,1000,500,Warning,Danger
42,71,1,1000,500,Danger,Danger
41,30,0,1000,457,Warning,Danger
40,80,0,1000,500,Danger,Danger
25,31,1,779,500,Warning,Warning
23,46,0,326,500,Safe,Warning
25,31,1,313,500,Warning,Warning
24,30,0,460,500,Safe,Warning
20,90,1,183,500,Warning,Warning
43,38,0,1000,500,Danger,Danger
26,48,1,1000,500,Danger,Warning
39,32,0,830,500,Warning,Danger
40,37,0,1000,500,Danger,Danger
27,86,1,1000,500,Danger,Danger
27,53,1,654,500,Warning,Warning
39,95,0,1000,500,Danger,Danger
41,34,1,1000,500,Danger,Danger
21,46,1,450,500,Warning,Warning
20,52,1,1000,500,Warning,Warning
22,76,0,1000,500,Warning,Danger
31,71,0,1000,500,Warning,Danger
43,85,0,812,500,Danger,Danger
42,40,1,1000,500,Danger,Danger
43,62,0,1000,252,Warning,Danger
20,70,0,1000,201,Warning,Danger
21,47,1,1000,500,Danger,Warning
35,70,0,270,500,Warning,Danger
38,82,1,1000,500,Warning,Danger
22,42,0,1000,500,Warning,Warning
37,71,1,1000,500,Danger,Danger
32,80,1,198,500,Safe,Danger
22,78,0,1000,500,Warning,Danger
43,66,0,772,500,Warning,Danger
38,75,1,1000,500,Danger,Danger
43,84,1,1000,500,Danger,Danger
42,58,1,1000,500,Warning,Danger
32,54,1,1000,500,Danger,Warning
21,90,0,798,500,Warning,Danger
33,66,1,1000,205,Warning,Danger
36,71,1,1000,445,Warning,Danger
32,54,0,462,245,Safe,Danger
21,95,0,380,500,Safe,Danger
21,65,1,137,394,Safe,Warning
21,41,0,1000,500,Warning,Warning
31,33,0,961,500,Warning,Danger
31,38,0,1000,500,Warning,Danger
29,73,1,551,500,Warning,Warning
45,51,0,1000,500,Danger,Danger
21,38,1,1000,500,Warning,Warning
38,47,1,1000,500,Danger,Danger
37,88,1,1000,154,Warning,Danger
25,33,0,1000,500,Warning,Warning
31,61,0,750,500,Safe,Danger
23,90,1,1000,500,Danger,Danger
41,87,0,1000,104,Warning,Danger
36,53,0,380,500,Safe,Danger
27,69,0,202,500,Safe,Warning
28,48,1,1000,500,Warning,Warning
39,40,0,157,500,Warning,Danger
33,39,1,1000,500,Warning,Warning
42,66,0,244,500,Warning,Danger
33,74,1,1000,500,Danger,Danger
35,41,1,1000,219,Warning,Danger
36,95,0,615,500,Warning,Danger
42,90,1,1000,331,Danger,Danger
21,88,0,1000,259,Warning,Danger
29,40,1,1000,500,Warning,Warning
30,57,1,1000,500,Danger,Warning
32,73,1,1000,500,Danger,Danger
30,58,1,1000,500,Safe,Warning
26,41,0,765,500,Safe,Warning
45,42,1,1000,500,Danger,Danger
44,36,0,1000,500,Warning,Danger
26,50,0,1000,500,Safe,Warning
43,63,0,1000,500,Warning,Danger
39,93,1,1000,500,Danger,Danger
24,74,0,1000,500,Warning,Danger
33,35,0,309,500,Warning,Danger
37,39,1,286,500,Warning,Danger
20,91,0,1000,500,Warning,Danger
24,94,1,762,500,Warning,Danger
30,58,0,205,500,Safe,Warning
29,50,1,1000,500,Warning,Warning
30,62,1,1000,500,Warning,Warning
24,47,1,1000,500,Warning,Warning
42,58,1,1000,500,Danger,Danger
27,89,1,1000,500,Danger,Danger
37,53,1,1000,500,Danger,Danger
31,76,1,452,500,Warning,Danger
22,60,1,1000,500,Warning,Warning
36,54,0,1000,500,Warning,Danger
34,37,1,1000,500,Warning,Warning
42,82,0,209,372,Safe,Danger
37,46,0,1000,500,Warning,Danger
28,50,0,178,500,Safe,Warning
25,45,0,998,500,Safe,Warning
35,82,1,1000,500,Warning,Danger
26,71,0,385,500,Warning,Danger
35,63,1,628,500,Warning,Danger
24,44,0,1000,500,Safe,Warning
45,75,0,1000,500,Danger,Danger
39,62,1,673,500,Warning,Danger
44,70,0,1000,500,Danger,Danger
33,58,0,1000,500,Warning,Danger
26,46,0,1000,500,Warning,Warning
43,40,1,1000,500,Warning,Danger
38,41,0,1000,500,Danger,Danger
20,83,0,1000,500,Warning,Danger
36,41,1,444,500,Warning,Danger
33,94,1,1000,500,Danger,Danger
44,89,0,122,500,Warning,Danger
28,44,0,1000,500,Warning,Warning
25,67,1,1000,500,Warning,Warning
39,90,1,107,500,Danger,Danger
30,47,1,684,500,Warning,Warning
37,41,1,1000,500,Danger,Danger
43,60,0,352,500,Warning,Danger
31,38,1,1000,500,Warning,Warning
27,89,1,1000,500,Danger,Danger
44,31,1,1000,500,Danger,Danger
20,30,1,1000,500,Danger,Warning
44,74,0,1000,500,Danger,Danger
26,41,0,1000,462,Safe,Warning
27,77,0,1000,500,Warning,Danger
43,85,0,775,500,Danger,Danger
20,39,1,1000,500,Warning,Warning
28,76,1,1000,500,Warning,Warning
26,41,0,1000,500,Warning,Warning
31,91,0,1000,500,Danger,Danger
24,57,1,1000,500,Warning,Warning
40,89,1,1000,500,Danger,Danger
34,68,0,1000,500,Danger,Danger
33,87,0,1000,500,Danger,Danger
41,52,1,1000,500,Warning,Danger
24,55,0,334,479,Safe,Warning
22,32,0,277,183,Safe,Warning
27,78,1,1000,500,Warning,Warning
45,32,1,1000,500,Danger,Danger
31,66,0,1000,500,Warning,Danger
36,93,0,784,500,Danger,Danger
35,81,0,1000,500,Danger,Danger
26,86,0,391,500,Warning,Danger
21,80,0,1000,500,Warning,Danger
35,57,1,1000,500,Warning,Danger
30,72,0,1000,500,Warning,Danger
33,88,1,1000,500,Danger,Danger
39,60,0,1000,500,Danger,Danger
35,94,1,448,440,Warning,Danger
23,58,0,1000,500,Warning,Warning
44,39,0,770,500,Safe,Danger
32,88,0,1000,500,Warning,Danger
29,42,0,1000,345,Warning,Warning
31,56,1,1000,500,Warning,Warning
30,35,0,411,500,Safe,Danger
26,94,0,1000,500,Warning,Danger
37,56,0,1000,500,Warning,Danger
43,31,1,1000,500,Danger,Danger
24,59,0,1000,500,Warning,Warning
23,79,1,1000,500,Danger,Warning
31,36,1,1000,500,Warning,Warning
38,44,0,645,500,Warning,Danger
29,70,1,1000,500,Warning,Warning
20,30,1,130,500,Warning,Safe
29,89,0,1000,500,Danger,Danger
33,63,1,852,500,Warning,Warning
43,59,1,1000,500,Danger,Danger
43,71,1,1000,500,Danger,Danger
22,52,0,1000,500,Warning,Warning
32,82,1,1000,500,Warning,Danger
24,46,1,1000,500,Warning,Warning
43,86,0,1000,500,Danger,Danger
30,58,0,1000,500,Warning,Danger
33,94,1,1000,500,Danger,Danger
27,54,1,1000,500,Warning,Warning
22,74,0,1000,500,Warning,Danger
35,72,0,1000,500,Danger,Danger
29,41,0,1000,500,Warning,Warning
27,94,1,1000,500,Warning,Danger
30,79,1,1000,500,Warning,Danger
35,42,1,1000,500,Warning,Danger
26,47,0,1000,500,Warning,Warning
38,45,1,1000,138,Warning,Warning
42,50,1,1000,500,Danger,Danger
22,52,1,1000,500,Warning,Warning
33,48,1,1000,500,Danger,Warning
32,35,1,1000,500,Warning,Warning
24,40,0,714,500,Safe,Warning
29,47,1,1000,500,Warning,Warning
43,90,1,1000,500,Danger,Danger
22,86,0,1000,492,Warning,Danger
34,92,0,1000,500,Danger,Danger
27,65,0,1000,500,Warning,Danger
38,55,0,1000,500,Danger,Danger
30,72,0,1000,401,Warning,Danger
38,47,0,347,210,Safe,Danger
42,72,1,799,500,Danger,Danger
26,86,1,1000,500,Danger,Danger
44,63,0,1000,500,Danger,Danger
23,80,0,1000,500,Warning,Danger
23,70,0,1000,348,Warning,Danger
38,43,0,950,500,Warning,Danger
37,68,1,1000,500,Warning,Danger
27,48,1,1000,500,Danger,Warning
45,33,1,1000,341,Danger,Danger
21,44,0,1000,500,Warning,Warning
22,57,0,1000,500,Warning,Warning
40,57,0,1000,500,Danger,Danger
43,51,0,1000,500,Danger,Danger
20,75,1,850,500,Warning,Warning
28,78,1,1000,500,Warning,Warning
32,68,0,739,500,Warning,Danger
44,85,0,1000,500,Danger,Danger
32,90,0,1000,500,Danger,Danger
31,70,1,1000,500,Danger,Danger
38,73,1,1000,391,Warning,Danger
37,36,1,164,198,Safe,Warning
45,56,0,1000,500,Danger,Danger
33,47,0,1000,500,Warning,Danger
26,59,1,1000,500,Warning,Warning
42,52,0,1000,500,Warning,Danger
34,72,1,1000,500,Warning,Danger
35,90,1,1000,500,Danger,Danger
22,64,0,1000,500,Warning,Warning
26,85,1,1000,500,Danger,Danger
43,59,0,496,500,Warning,Danger
26,58,1,1000,500,Warning,Warning
29,94,1,1000,500,Warning,Danger
23,30,0,1000,500,Warning,Warning
26,85,0,1000,500,Danger,Danger
33,41,1,1000,500,Warning,Warning
37,37,1,1000,500,Warning,Danger
26,36,0,1000,500,Warning,Warning
37,74,0,636,500,Warning,Danger
28,76,0,1000,500,Warning,Danger
24,54,1,1000,500,Warning,Warning
29,41,1,1000,500,Warning,Warning
22,67,1,1000,500,Warning,Warning
34,67,1,1000,500,Danger,Danger
40,70,1,1000,500,Danger,Danger
31,39,1,1000,500,Danger,Warning
22,40,0,1000,277,Warning,Warning
38,69,0,1000,500,Warning,Danger
41,88,1,419,500,Danger,Danger
43,73,0,1000,500,Warning,Danger
36,55,0,737,500,Warning,Danger
28,71,0,1000,500,Warning,Danger
44,60,1,721,500,Warning,Danger
40,75,1,352,145,Warning,Danger
32,41,1,1000,500,Warning,Warning
40,91,0,1000,500,Danger,Danger
33,63,0,1000,500,Warning,Danger
45,66,1,1000,500,Danger,Danger
38,58,1,1000,500,Warning,Danger
43,85,0,1000,500,Danger,Danger
45,50,1,1000,500,Danger,Danger
23,47,1,1000,500,Warning,Warning
43,89,0,383,500,Warning,Danger
41,54,1,346,500,Warning,Danger
32,61,0,562,500,Safe,Danger
26,49,1,1000,500,Danger,Warning
