temperature,humidity,motion,gas,aqi,risk
26.22,41.58,1,89.63,25.67,Safe
30.81,84.96,0,277.2,238.43,Danger
34.73,40.58,0,53.11,18.66,Safe
34.09,17.3,1,346.66,257.86,Warning
15.97,91.07,1,91.21,29.35,Safe
38.16,42.62,1,497.85,405.76,Danger
38.3,66.76,0,261.5,210.01,Danger
24.4,4.54,0,43.42,40.48,Safe
16.09,30.15,0,9.62,2.38,Safe
44.66,8.47,0,433.46,321.12,Danger
16.13,24.91,1,597.85,449.98,Warning
14.15,48.68,0,315.14,250.54,Warning
20.54,86.87,1,442.04,328.37,Danger
28.26,97.28,1,107.98,52.05,Safe
18.56,57.76,0,546.36,447.26,Warning
41.65,66.97,1,410.48,341.4,Danger
25.48,25.64,0,347.09,239.54,Warning
21.75,67.78,1,58.97,47.94,Safe
17.37,63.26,0,100.66,54.19,Safe
28.82,33.1,0,49.7,30.55,Safe
12.19,30.4,0,233.48,197.73,Warning
20.07,88.38,0,68.13,64.45,Safe
15.8,16.2,0,61.68,8.28,Safe
43.65,31.1,0,30.5,26.71,Warning
27.54,8.09,0,57.94,12.51,Safe
13.21,4.9,0,619.24,488.06,Warning
20.79,89.9,1,479.48,398.06,Danger
18.86,13.76,0,582.97,462.36,Warning
37.41,95.43,0,246.33,207.9,Danger
24.93,32.28,0,241.27,159.29,Warning
21.31,97.02,0,280.12,202.09,Danger
19.12,71.83,0,409.81,309.58,Danger
14.54,56.75,0,189.98,163.5,Warning
29.71,21.39,1,521.36,382.85,Warning
13.31,32.21,0,227.61,198.08,Warning
27.3,61.55,0,168.85,94.39,Safe
10.49,7.63,1,86.08,33.84,Safe
40.85,81.4,1,200.63,152.59,Danger
29.79,97.42,0,521.06,390.29,Danger
21.64,80.97,0,639.68,487.91,Danger
26.95,97.07,0,483.32,384.87,Danger
22.06,40.55,0,546.39,458.58,Warning
17.44,47.34,1,509.04,373.25,Warning
15.95,93.28,0,225.92,185.19,Danger
33.44,96.07,0,374.1,282.61,Danger
40.5,15.14,0,346.62,264.97,Danger
15.14,61.69,0,492.49,373.5,Warning
37.44,65.53,1,70.51,65.6,Warning
29.9,13.92,0,515.48,399.83,Warning
28.7,22.22,0,87.89,62.41,Safe
26.04,99.1,1,204.57,131.59,Warning
10.7,85.96,0,107.4,41.96,Safe
18.91,55.63,0,43.39,47.2,Safe
21.47,5.17,0,3.25,7.06,Safe
31.99,56.36,0,104.33,36.96,Safe
30.21,40.03,0,188.27,161.96,Warning
17.02,56.38,0,214.68,151.95,Warning
12.22,4.26,0,131.71,116.64,Safe
41.43,28.84,0,614.74,478.31,Danger
13.34,52.82,0,81.54,21.28,Safe
23.65,32.0,0,298.91,206.41,Warning
11.3,11.77,1,172.52,111.81,Safe
29.31,33.2,0,364.64,274.48,Warning
20.18,55.6,0,454.64,356.82,Warning
11.15,92.88,1,233.87,157.24,Danger
20.51,43.54,1,157.48,159.33,Warning
17.03,61.92,0,72.63,67.23,Safe
22.45,54.97,1,96.86,26.67,Safe
14.4,44.93,0,645.0,484.73,Warning
44.59,80.42,0,82.91,50.15,Warning
40.92,26.53,0,388.31,277.11,Danger
29.31,61.19,0,94.24,43.11,Safe
26.05,68.83,0,132.81,69.43,Safe
26.03,81.03,0,561.31,456.46,Danger
11.67,38.42,0,143.54,88.66,Safe
37.07,76.42,0,190.12,121.45,Danger
24.88,81.33,1,24.94,2.33,Safe
23.46,92.45,0,542.58,419.98,Danger
29.55,13.79,0,30.96,33.58,Safe
34.81,53.88,1,93.01,57.45,Safe
33.28,78.88,0,517.47,441.2,Danger
12.16,58.48,0,103.44,52.56,Safe
11.58,65.79,0,265.94,216.1,Danger
38.84,28.15,0,97.21,69.2,Warning
42.65,37.79,0,402.74,330.31,Danger
38.54,85.14,1,591.63,485.25,Danger
11.48,99.58,0,340.84,259.35,Danger
15.38,36.08,0,289.58,213.8,Warning
10.39,69.92,0,98.44,97.36,Safe
38.61,47.39,0,419.09,333.27,Danger
20.21,6.36,0,130.49,91.98,Safe
39.75,90.51,0,205.57,171.3,Danger
12.46,30.39,1,574.78,472.3,Warning
39.2,78.37,1,573.58,451.65,Danger
24.05,71.84,0,386.53,283.84,Danger
16.07,22.03,0,95.8,53.69,Safe
23.26,6.77,0,252.16,213.66,Warning
16.4,35.96,1,96.81,92.41,Safe
39.23,31.9,0,464.02,389.75,Danger
